STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,31.48,31.37,28.12,24.81,21.28,17.92,17.2,17.87,20.54,22.98,26.65,28.38
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,38.4,37.32,35.35,31.37,25.18,21.06,20.52,23.71,29.07,31.41,34.38,36.06
AMBERLEY-AMO,40004,-27.63,152.71,32.9,31.87,31.21,29.74,25.21,21.84,21.21,23.47,28.31,30.12,32.55,33.56
